Sentence	Suicidal
i'm overthinking everything. . fuck. I gotta stop and just do it	1
I maintain my right to die as I have lived a free woman not cowed into silence by any other human being. 	1
The driver of the bright red bus waited at the intersection looking at his watch.	0
I am ending myself today because my trust has been broken and I am being cheated.	1
I am not about to make the great adventure. I cannot endure this agonizing pain any longer. Neither can I face the impending blindness.	1
The survival of the fittest. Adios unfit.	1
I am tired of hurting and feeling lonely my head hurts from crying but if I take anything I am scared that I won't stop and I would want to stop	1
Football seasons is over no more walking no more fun and no more swimming. Life is boring.	1
All of a sudden all will and determination to fight on has left me.I have long ago prepared myself for the time when I reached the end of the trail.I feel calm and at peace and greatful that  I can go to sleep painlessly.	1
I am sorry I care but I need to escape and I cannot wait to see what is on the other side.	1
Sweat was streaming down his face and he was breathing heavily	0
May God have mercy on both our souls as he alone knows my heartache and sorrow and love for you.	1
I know you will greive over me for having taken my life how sorry I am to hurt you.	1
I am going to put myself to sleep now for a bit longer than usual. Call it Eternity.	1
What a beautiful day.	0
Though I am about to kick the bucket. I am happy as ever as I am going to see the other side of life.	1
